# refreshed_at_utc=2026-06-17T01:00:09Z
# source_commit=ec6a5dfbe985
# php_src_revision=8c63ec400ce8e07c57a8d9499317b96a8beafb8b
# window_start_utc=2026-06-10T01:00Z
# window_hours=168
feature	ported_tests	passed_tests	upstream_tests	completed_hour_utc	newly_passed_tests	evidence
ptn-2xzl JSON encode/error rows	14	14	14	2026-06-17T00:00Z	14	.runtime/phpt-progress/run-20260617T000357Z.log
ptn-w17z.58 ArrayObject iterator class serialization row	1	1	1	2026-06-17T00:00Z	1	.runtime/phpt-progress/run-20260617T002750Z.log
ptn-t9pt return/type declaration rows	213	195	213	2026-06-17T00:00Z	75	.runtime/phpt-progress/run-20260617T003154Z.log
ptn-mq0f class constant reflection rows	16	16	16	2026-06-17T00:00Z	16	.runtime/phpt-progress/run-20260617T003800Z-manifest.log
ptn-r48u string INI rows	7	7	7	2026-06-17T00:00Z	7	.runtime/phpt-progress/run-20260617T005742Z.log
ptn-cl81 ArrayObject flipped-green PHPT rows	31	31	31	2026-06-16T21:00Z	31	git:f220b355
ptn-6rea html entity charset rows	5	5	5	2026-06-16T21:00Z	5	mail:hq-wisp-2o5aqg
ptn-2ey0 sparse reference call rows	7	7	7	2026-06-16T21:00Z	2	.runtime/phpt-progress/run-20260616T213415Z-manifest.log
ptn-je79 match diagnostics rows	2	2	2	2026-06-16T21:00Z	2	.runtime/phpt-progress/run-20260616T213717Z.log
ptn-811r loose numeric string comparison row	1	1	1	2026-06-16T21:00Z	1	bead:ptn-811r
ptn-1yvd array memory-limit row	1	1	1	2026-06-16T21:00Z	1	.runtime/ptn-wisp-zcz-bug70258/run-20260616T214241Z-manifest.log
ptn-ygnm deprecated class constant metadata rows	5	5	8	2026-06-16T21:00Z	5	.runtime/ptn-wisp-0wl-deprecated-class-constants/run-20260616T214639Z-manifest.log
ptn-v8e5 self-extending interface diagnostic row	1	1	1	2026-06-16T22:00Z	1	.runtime/ptn-wisp-g6w-bug30922/run-20260616T221619Z-manifest.log
ptn-pcso assertion runtime rows	3	3	3	2026-06-16T22:00Z	3	.runtime/ptn-wisp-zhf-assert-targets/run-20260616T222134Z-manifest.log
ptn-gt9c internal by-ref warning row	1	1	1	2026-06-16T22:00Z	1	.runtime/ptn-wisp-4s2-bug79979/run-20260616T222516Z-manifest.log
ptn-uqgj parser exit/control rows	15	15	26	2026-06-16T22:00Z	15	.runtime/phpt-progress/manifest-20260616T225415Z.txt
ptn-xe1e shell/process helper rows	14	14	14	2026-06-16T22:00Z	14	.runtime/phpt-progress/manifest-20260616T225930Z.txt
ptn-d06v builtin attribute diagnostic rows	7	7	8	2026-06-16T23:00Z	7	.runtime/ptn-wisp-yuk-attribute-type-validation/run-20260616T230333Z-manifest.log
ptn-nvk4 COW reference PHPT rows	10	10	10	2026-06-16T23:00Z	10	.runtime/ptn-wisp-lfi-exact/run-20260616T231303Z-manifest.log
ptn-p4cv generator yield-from delegation rows	23	23	23	2026-06-16T23:00Z	23	.runtime/ptn-wisp-5bs-generator-green/run-20260616T234125Z-manifest.log
ptn-88g7 generator reference COW rows	4	4	4	2026-06-16T23:00Z	4	.runtime/phpt-progress/manifest-20260616T235148Z.txt
ptn-snt7 object/class metadata row pack	8	8	8	2026-06-15T20:00Z	8	.runtime/merge-ptn-snt7-object-class-metadata/summary-20260615T203520Z.txt
ptn-456b ext-standard strings row pack	27	27	47	2026-06-15T20:00Z	27	.runtime/merge-ptn-456b-ext-standard-strings/summary-20260615T202910Z.txt
ptn-y4f1 COW/reference sort/object walk row pack	72	59	72	2026-06-15T20:00Z	7	.runtime/merge-ptn-y4f1-array-internal/summary-20260615T201659Z.txt
ptn-w17z.31 iterable/DNF type row pack	27	27	27	2026-06-15T20:00Z	26	.runtime/merge-ptn-w17z31-iterable-dnf/summary-20260615T200733Z.txt
ptn-w17z.29 SPL iterator wrapper row pack	7	7	7	2026-06-15T20:00Z	5	.runtime/merge-ptn-w17z29-spl-iterator-wrapper/summary-20260615T200046Z.txt
ptn-50g7 COW/reference array-walk and sort row pack	10	10	103	2026-06-15T19:00Z	10	.runtime/merge-ptn-50g7-cow-foreach/summary-20260615T194929Z.txt
ptn-jrzu CSV stream parity row pack	22	22	57	2026-06-15T19:00Z	22	.runtime/merge-ptn-jrzu-csv-stream-parity/summary-20260615T193520Z.txt
ptn-w17z.16.1 ErrorException severity row pack	2	2	2	2026-06-15T19:00Z	1	.runtime/merge-ptn-w17z16-1-errorexception-severity/summary-20260615T192939Z.txt
ptn-w17z.16.2 nested try/finally row pack	9	9	9	2026-06-15T19:00Z	9	.runtime/merge-ptn-w17z16-2-nested-try-finally/summary-20260615T192312Z.txt
ptn-90cm compare64bit object/number diagnostics	6	6	6	2026-06-15T19:00Z	6	.runtime/merge-ptn-90cm-compare64bit/summary-20260615T191655Z.txt
ptn-vvpn class_alias metadata slice	38	13	38	2026-06-15T19:00Z	13	.runtime/merge-ptn-vvpn-class-alias/summary-20260615T190216Z.txt
ptn-w17z.36 extract typed references	1	1	1	2026-06-15T18:00Z	1	.runtime/merge-ptn-w17z36-extract-typed-ref/summary-20260615T185434Z.txt
ptn-2cij ENV/CLEAN SKIPIF preconditions	33	0	2086	2026-06-15T17:00Z	0	.runtime/ptn-2cij/env-clean-rebased/summary-20260615T171427Z.txt
ptn-vj4r class_alias namespace metadata	5	5	5	2026-06-15T18:00Z	5	.runtime/merge-ptn-vj4r-class-alias-metadata-row-pack/summary-20260615T183720Z.txt
ptn-144g parser residual row pack	2	2	2	2026-06-15T18:00Z	2	.runtime/merge-ptn-144g-parser-residuals/summary-20260615T182723Z.txt
ptn-evvk stream mode diagnostics	8	8	8	2026-06-15T18:00Z	1	.runtime/merge-ptn-evvk-stream-mode-diagnostics/summary-20260615T181618Z.txt
ptn-w17z.26 Serializable/SPL unserialize row pack	5	5	5	2026-06-15T18:00Z	5	.runtime/merge-ptn-w17z26-serializable-spl-unserialize/summary-20260615T180738Z.txt
ptn-w17z.23 union type declaration parser row	1	1	1	2026-06-15T18:00Z	1	.runtime/merge-ptn-w17z23-union-type-fpow/summary-20260615T180055Z.txt
ptn-utht filtered stream copy row pack	4	4	4	2026-06-15T17:00Z	4	.runtime/merge-ptn-utht-filtered-stream-copy/summary-20260615T175250Z.txt
